name,wilaya,zone,lat,lon
Algiers,Alger,Tell/Coastal,36.7538,3.0588
Oran,Oran,Tell/Coastal,35.6969,-0.6331
Annaba,Annaba,Tell/Coastal,36.9000,7.7667
Tiaret,Tiaret,High Plateau,35.3711,1.3170
Djelfa,Djelfa,High Plateau,34.6667,3.2500
Batna,Batna,High Plateau,35.5559,6.1742
El Bayadh,El Bayadh,Saharan Atlas,33.6803,1.0197
Laghouat,Laghouat,Saharan Atlas,33.8000,2.8646
Ghardaia,Ghardaia,Northern Sahara,32.4909,3.6738
Ouargla,Ouargla,Northern Sahara,31.9500,5.3167
Bechar,Bechar,Western Sahara,31.6167,-2.2167
Adrar,Adrar,Central Sahara,27.8740,-0.2846
Tamanrasset,Tamanrasset,Deep South Sahara,22.7850,5.5228
