name,wilaya,zone,date,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,WS10M,WS50M,T2M,RH2M,PRECTOTCORR
Algiers,Alger,Tell/Coastal,20040101,2.6554,3.083,5.0023,6.43,7.56,12.69,71.35,0.19
Algiers,Alger,Tell/Coastal,20040102,1.8787,3.121,2.442,9.35,11.14,13.93,69.81,3.99
Algiers,Alger,Tell/Coastal,20040103,1.4587,2.8865,1.5583,7.62,8.83,12.17,69.53,3.04
Algiers,Alger,Tell/Coastal,20040104,2.6587,3.2578,5.5932,4.54,5.06,12.65,65.71,0.07
Algiers,Alger,Tell/Coastal,20040105,3.0521,3.2114,5.9899,3.24,3.54,12.99,67.03,0.02
Algiers,Alger,Tell/Coastal,20040106,3.1534,3.3761,6.971,2.59,2.97,12.65,55.0,0.0
Algiers,Alger,Tell/Coastal,20040107,2.8118,3.3331,3.9782,3.85,4.37,12.98,69.36,0.03
Algiers,Alger,Tell/Coastal,20040108,2.9722,3.0919,5.3578,6.53,7.75,14.09,86.38,0.03
Algiers,Alger,Tell/Coastal,20040109,1.9757,3.0444,1.3661,8.2,10.27,15.04,90.84,0.08
Algiers,Alger,Tell/Coastal,20040110,2.7017,3.161,5.2774,6.99,8.55,14.85,94.25,0.0
Algiers,Alger,Tell/Coastal,20040111,3.0017,3.163,5.7283,3.35,4.04,15.06,85.78,0.0
Algiers,Alger,Tell/Coastal,20040112,3.191,3.2832,6.6156,3.67,4.55,14.94,83.04,0.0
Algiers,Alger,Tell/Coastal,20040113,2.7091,3.3763,2.867,5.74,7.68,15.62,77.14,0.0
Algiers,Alger,Tell/Coastal,20040114,3.1838,3.294,5.8382,7.57,9.38,14.99,83.49,0.04
Algiers,Alger,Tell/Coastal,20040115,2.885,3.3679,4.8132,3.69,4.28,14.05,76.67,0.58
Algiers,Alger,Tell/Coastal,20040116,2.6441,3.2191,3.4397,3.84,4.38,13.77,78.38,0.12
Algiers,Alger,Tell/Coastal,20040117,2.988,3.3672,5.1516,6.28,7.39,14.5,86.99,0.01
Algiers,Alger,Tell/Coastal,20040118,1.0224,3.2738,1.0975,6.81,7.95,13.12,76.3,13.54
Algiers,Alger,Tell/Coastal,20040119,1.7035,3.1656,0.7963,4.95,5.7,10.79,71.85,4.63
Algiers,Alger,Tell/Coastal,20040120,1.7131,3.3859,1.6013,5.77,6.68,11.87,72.03,1.08
Algiers,Alger,Tell/Coastal,20040121,1.8346,3.3166,2.1,6.28,7.37,13.1,75.41,0.06
Algiers,Alger,Tell/Coastal,20040122,2.8337,3.4742,3.978,3.69,4.11,13.51,75.76,0.0
Algiers,Alger,Tell/Coastal,20040123,2.9371,3.5035,4.2319,8.13,9.66,14.13,84.12,0.11
Algiers,Alger,Tell/Coastal,20040124,1.7506,3.3936,1.5319,2.77,3.33,14.48,89.23,2.42
Algiers,Alger,Tell/Coastal,20040125,2.9986,3.4817,4.8427,4.76,5.68,14.78,92.18,0.55
Algiers,Alger,Tell/Coastal,20040126,2.9299,3.408,3.7082,8.29,10.1,14.84,85.28,0.04
Algiers,Alger,Tell/Coastal,20040127,2.6258,3.5491,2.8714,10.03,12.28,15.28,86.31,0.01
Algiers,Alger,Tell/Coastal,20040128,1.0812,3.6007,0.3463,6.19,7.17,12.55,80.25,17.88
Algiers,Alger,Tell/Coastal,20040129,3.7694,4.0114,7.2374,5.01,5.59,12.31,66.11,0.0
Algiers,Alger,Tell/Coastal,20040130,3.312,3.9372,3.4442,5.55,6.31,12.98,69.97,0.05
Algiers,Alger,Tell/Coastal,20040131,3.7073,3.7697,6.2618,3.92,4.48,14.04,74.57,0.0
Algiers,Alger,Tell/Coastal,20040201,3.563,3.8537,5.7293,2.44,2.79,14.44,78.89,0.0
Algiers,Alger,Tell/Coastal,20040202,3.5302,3.7958,4.71,2.56,2.88,14.68,75.67,0.0
Algiers,Alger,Tell/Coastal,20040203,3.7354,3.863,6.2441,3.96,4.44,14.78,78.53,0.0
Algiers,Alger,Tell/Coastal,20040204,3.8438,4.0709,7.0579,4.73,5.25,14.45,87.12,0.0
Algiers,Alger,Tell/Coastal,20040205,4.0956,4.2115,7.5811,3.91,4.29,14.34,83.85,0.0
Algiers,Alger,Tell/Coastal,20040206,4.1333,4.2408,7.8286,2.61,2.85,14.39,77.71,0.0
Algiers,Alger,Tell/Coastal,20040207,3.5527,4.1798,5.7485,3.06,3.48,13.86,85.12,0.0
Algiers,Alger,Tell/Coastal,20040208,2.189,4.098,2.8183,4.65,5.12,13.28,88.31,0.02
Algiers,Alger,Tell/Coastal,20040209,2.6741,4.0721,2.3335,4.97,5.53,13.05,82.26,0.03
Algiers,Alger,Tell/Coastal,20040210,3.7459,4.3778,4.7465,5.43,6.08,12.62,79.21,0.02
Algiers,Alger,Tell/Coastal,20040211,4.1023,4.3771,6.2395,2.48,2.58,12.53,78.09,0.01
Algiers,Alger,Tell/Coastal,20040212,4.2312,4.4986,6.5462,3.94,4.35,12.83,82.32,0.01
Algiers,Alger,Tell/Coastal,20040213,4.3824,4.5888,7.1095,2.89,3.18,12.94,74.17,0.0
Algiers,Alger,Tell/Coastal,20040214,4.1234,4.548,6.0514,2.32,2.58,13.69,65.92,0.0
Algiers,Alger,Tell/Coastal,20040215,3.3571,4.3466,4.061,3.38,3.81,13.65,78.85,0.25
Algiers,Alger,Tell/Coastal,20040216,2.8927,4.182,2.2733,3.64,4.19,14.24,78.23,0.38
Algiers,Alger,Tell/Coastal,20040217,2.7166,4.0654,2.1622,6.48,7.44,13.07,81.62,3.07
Algiers,Alger,Tell/Coastal,20040218,1.362,4.307,0.786,5.39,6.15,12.49,80.57,2.29
Algiers,Alger,Tell/Coastal,20040219,2.6818,4.0615,0.5578,3.9,4.36,12.71,79.44,0.65
Algiers,Alger,Tell/Coastal,20040220,1.7561,3.4639,0.1853,7.99,11.14,17.01,69.97,2.43
Algiers,Alger,Tell/Coastal,20040221,2.0729,2.6076,0.1414,7.91,11.8,18.12,69.6,0.06
Algiers,Alger,Tell/Coastal,20040222,3.6691,4.8209,4.6776,8.5,10.01,14.21,74.9,0.91
Algiers,Alger,Tell/Coastal,20040223,4.6198,5.0184,6.9566,4.59,5.34,14.7,72.5,0.03
Algiers,Alger,Tell/Coastal,20040224,4.6219,4.9063,6.0408,5.46,6.19,14.79,81.54,0.11
Algiers,Alger,Tell/Coastal,20040225,3.4363,4.6094,1.0366,2.47,3.13,15.54,81.84,2.05
Algiers,Alger,Tell/Coastal,20040226,3.4704,5.0911,3.6293,9.21,11.11,14.97,78.36,8.07
Algiers,Alger,Tell/Coastal,20040227,2.9796,5.0287,2.6249,10.55,12.39,12.64,70.38,11.58
Algiers,Alger,Tell/Coastal,20040228,3.5321,5.3146,3.8928,11.16,13.13,11.6,59.7,0.27
Algiers,Alger,Tell/Coastal,20040229,3.3734,5.2325,3.637,8.98,10.68,12.38,67.77,6.82
Algiers,Alger,Tell/Coastal,20040301,1.5809,5.1053,0.3216,4.01,4.54,9.22,68.53,6.79
Algiers,Alger,Tell/Coastal,20040302,1.445,4.8842,0.2206,8.66,10.0,8.99,75.15,21.66
Algiers,Alger,Tell/Coastal,20040303,1.7093,5.1682,0.7846,6.85,7.85,10.93,67.84,3.15
Algiers,Alger,Tell/Coastal,20040304,4.5067,5.4252,5.4341,7.39,8.52,12.61,74.46,0.0
Algiers,Alger,Tell/Coastal,20040305,5.0429,5.4653,6.5551,5.16,6.63,14.98,69.46,0.0
Algiers,Alger,Tell/Coastal,20040306,4.0634,5.1125,3.2741,7.63,9.56,14.72,82.43,0.06
Algiers,Alger,Tell/Coastal,20040307,3.8897,5.3623,2.6417,3.33,3.94,13.58,85.0,1.28
Algiers,Alger,Tell/Coastal,20040308,5.3095,5.6386,7.3987,3.86,4.41,13.62,81.65,0.0
Algiers,Alger,Tell/Coastal,20040309,5.2666,5.5536,6.1142,5.55,6.27,13.83,74.1,0.01
Algiers,Alger,Tell/Coastal,20040310,4.5802,5.3964,4.4554,4.26,5.03,14.46,83.9,0.23
Algiers,Alger,Tell/Coastal,20040311,3.6667,5.4708,2.6866,3.01,3.7,14.52,85.26,0.68
Algiers,Alger,Tell/Coastal,20040312,5.4931,5.8135,6.6931,3.56,4.74,16.44,73.55,0.0
Algiers,Alger,Tell/Coastal,20040313,4.883,5.4415,3.8054,4.12,5.58,15.35,83.15,0.02
Algiers,Alger,Tell/Coastal,20040314,3.5434,4.9075,0.7519,6.45,7.67,14.87,94.0,0.4
Algiers,Alger,Tell/Coastal,20040315,4.1683,5.2927,1.5406,6.55,8.41,15.6,87.61,0.35
Algiers,Alger,Tell/Coastal,20040316,2.5334,5.405,0.1382,3.96,5.76,15.69,83.03,0.05
Algiers,Alger,Tell/Coastal,20040317,4.3414,5.711,3.3893,2.27,2.59,14.6,86.32,0.96
Algiers,Alger,Tell/Coastal,20040318,5.586,5.8358,5.5747,2.26,2.49,14.79,84.34,0.62
Algiers,Alger,Tell/Coastal,20040319,3.3206,5.5234,0.9605,2.19,2.27,14.2,86.5,0.88
Algiers,Alger,Tell/Coastal,20040320,3.8112,5.7749,2.0086,2.28,2.46,13.92,84.03,0.69
Algiers,Alger,Tell/Coastal,20040321,5.9239,6.1068,7.008,1.93,2.31,14.99,78.24,0.0
