name,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,WS10M,WS50M,T2M,mean_kt,std_kt,interannual_cv_pct,solar_wind_monthly_corr,hot_days_per_year,zone,lat,lon,cluster,pc1,pc2,cluster_name
Annaba,4.765907186858316,4.832539945242984,4.3567214236824094,5.465375770020533,19.287541409993157,0.8046592786608329,0.1998169144963523,2.1441238288774604,-0.8614810362397153,0.15,Tell/Coastal,36.9,7.7667,0,-2.8778913438963527,0.13110555914284838,Coast & Plateau (hybrid hedge)
Algiers,4.853028473648186,5.179116728268309,4.957277207392198,5.872943189596167,19.23271731690623,0.8186001339533893,0.1969134768017779,2.3531809458167454,-0.7398367537877338,0.0,Tell/Coastal,36.7538,3.0588,0,-2.488736619972517,0.7741829385635468,Coast & Plateau (hybrid hedge)
Oran,5.044527241615333,5.447002203969884,4.08886379192334,5.488416153319644,18.775303216974677,0.8505801163561246,0.1699586347894646,1.9178523296476824,-0.7717719111823937,0.15,Tell/Coastal,35.6969,-0.6331,0,-1.95394923752871,-0.15826493668324557,Coast & Plateau (hybrid hedge)
Batna,5.012806858316222,4.992734291581109,3.505586584531143,4.9569212867898695,13.848428473648188,0.8286870938880286,0.1701524285389526,1.863846891554994,-0.5020899878145184,0.0,High Plateau,35.5559,6.1742,0,-2.288082300329514,-1.2384321854567044,Coast & Plateau (hybrid hedge)
Tiaret,5.024751047227927,5.154229363449692,3.967644079397673,5.556291581108829,16.802692676249144,0.8269063578658757,0.1912845755960868,2.1730192520071028,-0.8315339483353494,0.2,High Plateau,35.3711,1.317,0,-2.3881767694999225,0.12308209743592743,Coast & Plateau (hybrid hedge)
Djelfa,5.41560501026694,5.605541683778235,4.646013689253936,6.42015742642026,15.845203285420943,0.875664243668644,0.1465437840411041,1.390321203736043,-0.4520685524734517,0.0,High Plateau,34.6667,3.25,2,-0.12449512110622961,1.001646649745044,Saharan Atlas transition
Laghouat,5.6283430663928815,5.834538877481177,4.407530458590006,6.228833675564681,18.0169787816564,0.9026603832126292,0.1282494358944944,1.1304041135639444,-0.335700688341574,1.2,Saharan Atlas,33.8,2.8646,2,0.49365926102513935,0.3865754388334618,Saharan Atlas transition
El Bayadh,5.583425708418892,5.781539507186858,4.648458590006844,6.412140999315538,15.98333607118412,0.8913701315618531,0.1360958745113688,1.468080628905553,-0.2119490346282478,0.0,Saharan Atlas,33.6803,1.0197,2,0.2744299805503695,0.7507923774809767,Saharan Atlas transition
Ghardaia,5.789548268309377,6.001451375770021,4.305237508555783,6.184273785078713,20.793518138261465,0.9323103492965744,0.1110076729605955,0.8227548209698645,0.0639286571036653,15.85,Northern Sahara,32.4909,3.6738,1,1.619370316145245,0.05066720767959412,Deep Sahara (high resource & aligned)
Ouargla,5.862860643394935,5.654462819986311,4.130124572210815,5.972974674880219,22.414539356605065,0.9524673099329788,0.0940680943497441,0.6122852277642745,0.7318542833726293,37.2,Northern Sahara,31.95,5.3167,1,2.6833105094459837,-0.580190228447819,Deep Sahara (high resource & aligned)
Bechar,5.863200533880904,6.1676049691991786,4.000062970568104,5.628696783025325,21.49088569472964,0.9283614259712524,0.1104173695323933,1.1800674175033723,0.8022738872068093,18.8,Western Sahara,31.6167,-2.2167,1,1.5788673836049782,-1.3092817415667017,Deep Sahara (high resource & aligned)
Adrar,6.084467926078029,5.301180479123888,4.571678302532512,6.64178507871321,25.634266940451745,0.9533234093321856,0.0925573304356241,0.8761360787607636,0.567292825368817,87.25,Central Sahara,27.874,-0.2846,3,3.6892618105171664,1.3653470091771798,Adrar (heat-risk outlier)
Tamanrasset,6.397897371663245,5.784324161533196,4.232110882956879,5.790769336071184,20.091556468172485,0.9366094009193852,0.0929790293311826,1.0531103559696264,0.3975878191609386,0.0,Deep South Sahara,22.785,5.5228,1,1.7824321310443612,-1.2972301859041075,Deep Sahara (high resource & aligned)
